time,mag,place
20140721,6.9,"99km NNE of Ndoi Island, Fiji"
20140711,6.5,"139km E of Iwaki, Japan"
20140707,6.9,"4km W of Puerto Madero, Mexico"
20140704,6.5,"196km S of Taron, Papua New Guinea"
20140629,6.7,"201km SSE of Mata-Utu, Wallis and Futuna"
20140629,6.9,"154km NNW of Visokoi Island, "
20140623,7.9,"19km SE of Little Sitkin Island, Alaska"
20140623,6.7,"79km SSE of Raoul Island, New Zealand"
20140623,6.5,"83km SSE of Raoul Island, New Zealand"
20140623,6.9,"80km SSE of Raoul Island, New Zealand"
20140614,6.5,South Indian Ocean
20140524,6.9,"22km SSW of Kamariotissa, Greece"
20140513,6.5,"110km SE of Punta de Burica, Panama"
20140512,6.5,Southern East Pacific Rise
20140504,6.6,South of the Fiji Islands
20140501,6.6,"204km WNW of Ile Hunter, New Caledonia"
20140424,6.5,"120km S of Port Hardy, Canada"
20140419,7.5,"70km SW of Panguna, Papua New Guinea"
20140419,6.6,"57km SW of Panguna, Papua New Guinea"
20140418,7.2,"33km ESE of Petatlan, Mexico"
20140415,6.8,Bouvet Island region
20140413,6.6,"75km S of Kirakira, Solomon Islands"
20140413,7.4,"112km S of Kirakira, Solomon Islands"
20140412,7.6,"93km SSE of Kirakira, Solomon Islands"
20140411,6.6,"15km N of Belen, Nicaragua"
20140411,6.5,"78km SW of Panguna, Papua New Guinea"
20140411,7.1,"56km WSW of Panguna, Papua New Guinea"
20140403,7.7,"53km SW of Iquique, Chile"
20140403,6.5,"46km WSW of Iquique, Chile"
20140401,6.9,"91km WNW of Iquique, Chile"
20140401,8.2,"94km NW of Iquique, Chile"
20140316,6.7,"64km WNW of Iquique, Chile"
20140310,6.8,"78km WNW of Ferndale, California"
20140302,6.5,"111km NNW of Nago, Japan"
20140218,6.5,"172km NNE of Bathsheba, Barbados"
20140212,6.9,"272km ESE of Hotan, China"
20140207,6.5,"34km E of Port-Olry, Vanuatu"
20140202,6.5,"189km SSE of L'Esperance Rock, New Zealand"
20140101,6.5,"32km W of Sola, Vanuatu"
20131125,7.0,Falkland Islands region
20131123,6.5,Fiji region
20131117,7.7,Scotia Sea
20131116,6.9,Scotia Sea
20131031,6.6,"41km SSW of Coquimbo, Chile"
20131025,7.1,"Off the east coast of Honshu, Japan"
20131024,6.7,East of the South Sandwich Islands
20131019,6.6,"99km SW of Etchoropo, Mexico"
20131016,6.8,"62km WSW of Panguna, Papua New Guinea"
20131015,7.1,"4km SE of Sagbayan, Philippines"
20131012,6.6,"31km W of Platanos, Greece"
20131001,6.7,Sea of Okhotsk
20130930,6.5,"78km NE of L'Esperance Rock, New Zealand"
20130928,6.8,"85km NNE of Awaran, Pakistan"
20130925,7.1,"46km SSE of Acari, Peru"
20130924,7.7,"61km NNE of Awaran, Pakistan"
20130904,6.5,"81km SSW of Atka, Alaska"
20130904,6.5,"Izu Islands, Japan region"
20130901,6.5,"Kepulauan Barat Daya, Indonesia"
20130830,7.0,"101km SW of Atka, Alaska"
20130816,6.5,"29km SE of Blenheim, New Zealand"
20130813,6.7,"101km WSW of Mutis, Colombia"
20130721,6.5,"46km ESE of Blenheim, New Zealand"
20130715,7.3,"218km SSE of Bristol Island, South Sandwich Islands"
20130707,6.6,"29km NE of Kandrian, Papua New Guinea"
20130707,7.3,"115km ENE of Taron, Papua New Guinea"
20130624,6.6,Northern Mid-Atlantic Ridge
20130615,6.5,"46km W of Masachapa, Nicaragua"
20130613,6.7,"177km ENE of Flying Fish Cove, Christmas Island"
20130524,6.7,Sea of Okhotsk
20130524,8.3,Sea of Okhotsk
20130523,7.4,"282km SW of Vaini, Tonga"
20130514,6.8,"40km W of Agrihan, Northern Mariana Islands"
20130423,6.5,"31km N of Rabaul, Papua New Guinea"
20130420,6.6,"56km WSW of Linqiong, China"
20130419,7.2,"251km ENE of Kuril'sk, Russia"
20130416,6.6,"23km ESE of Aitape, Papua New Guinea"
20130416,7.7,"83km E of Khash, Iran"
20130414,6.6,"98km W of Panguna, Papua New Guinea"
20130406,7.0,"240km E of Enarotali, Indonesia"
20130310,6.5,"32km E of Finschhafen, Papua New Guinea"
20130301,6.5,"89km SE of Ozernovskiy, Russia"
20130228,6.9,"84km SE of Ozernovskiy, Russia"
20130214,6.6,"135km WSW of Druzhina, Russia"
20130209,6.6,"25km S of Lata, Solomon Islands"
20130209,6.9,"2km N of Yacuanquer, Colombia"
20130208,7.1,"31km SE of Lata, Solomon Islands"
20130208,6.8,"21km SSE of Lata, Solomon Islands"
20130207,6.7,"36km SSW of Lata, Solomon Islands"
20130206,7.0,"27km NNW of Lata, Solomon Islands"
20130206,7.1,"114km WSW of Lata, Solomon Islands"
20130206,8.0,"76km W of Lata, Solomon Islands"
20130202,6.9,"19km SSW of Obihiro, Japan"
20130130,6.8,"56km NNE of Vallenar, Chile"
20130105,7.5,Southeastern Alaska
20121221,6.7,Vanuatu
20121210,7.1,Banda Sea
20121207,7.3,"off the east coast of Honshu, Japan"
20121116,6.5,Kuril Islands
20121111,6.5,offshore Guatemala
20121111,6.8,Myanmar
20121107,7.4,offshore Guatemala
20121028,7.8,"Haida Gwaii, Canada"
20121024,6.5,Costa Rica
20121012,6.6,"near the south coast of Papua, Indonesia"
20121009,6.6,west of Macquarie Island
20120930,7.3,Colombia
20120905,7.6,Costa Rica
20120831,7.6,Philippine Islands region
20120830,6.8,Jan Mayen Island region
20120827,7.3,off the coast of El Salvador
20120826,6.6,Molucca Sea
20120814,7.7,Sea of Okhotsk
20120728,6.5,"New Ireland region, Papua New Guinea"
20120726,6.7,Mauritius - Reunion region
20120528,6.7,"Santiago Del Estero, Argentina"
20120428,6.6,Tonga
20120421,6.7,"near the north coast of Papua, Indonesia"
20120417,6.8,"eastern New Guinea region, Papua New Guinea"
20120417,6.7,"Valparaiso, Chile"
20120412,7.0,"Baja California, Mexico"
20120411,6.5,"Michoacan, Mexico"
20120411,8.2,off the west coast of northern Sumatra
20120411,8.6,off the west coast of northern Sumatra
20120325,7.1,"Maule, Chile"
20120321,6.6,"New Guinea, Papua New Guinea"
20120320,7.4,"Oaxaca, Mexico"
20120314,6.9,"off the east coast of Honshu, Japan"
20120309,6.7,Vanuatu
20120303,6.6,southeast of the Loyalty Islands
20120226,6.7,"southwestern Siberia, Russia"
20120206,6.7,"Negros - Cebu region, Philippines"
20120202,7.1,Vanuatu
20120115,6.6,South Shetland Islands
20120110,7.2,off the west coast of northern Sumatra
20120101,6.8,"Izu Islands, Japan region"
20111227,6.6,"southwestern Siberia, Russia"
20111214,7.1,"eastern New Guinea region, Papua New Guinea"
20111211,6.5,"Guerrero, Mexico"
20111122,6.6,"Beni, Bolivia"
20111108,6.9,northeast of Taiwan
20111028,6.9,near the coast of central Peru
20111023,7.1,eastern Turkey
20111021,7.4,Kermadec Islands region
20111014,6.5,"eastern New Guinea region, Papua New Guinea"
20110918,6.9,"Sikkim, India"
20110916,6.7,"near the east coast of Honshu, Japan"
